location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,hygiene_risk,inspection_month,inspection_day_of_week
Dharampeth,Office Washroom,9.8,1.6,8.9,Yes,822,0,3.3,Low,3,0
Civil Lines,School Washroom,5.7,4.7,41.5,Yes,494,4,36.0,High,4,3
Wardha Road,Transit Washroom,4.2,8.8,69.1,Yes,316,6,12.3,High,1,3
Sitabuldi,School Washroom,2.4,7.1,73.4,Yes,883,8,5.1,High,6,0
Sitabuldi,Hospital Washroom,7.0,4.1,36.7,Yes,403,1,3.0,Low,6,2
Dharampeth,Hospital Washroom,4.1,7.6,68.0,Yes,497,7,5.6,High,7,0
Wardha Road,Office Washroom,5.6,3.6,40.7,Yes,327,4,27.9,Medium,9,0
Hingna,Hospital Washroom,4.4,6.2,45.1,No,273,7,8.2,High,3,1
Sitabuldi,Transit Washroom,6.2,3.7,46.6,Yes,441,6,6.4,Medium,1,5
Dharampeth,Office Washroom,3.8,6.2,91.0,Yes,364,6,5.1,High,6,4
Manish Nagar,Office Washroom,5.4,6.5,29.8,Yes,20,4,8.3,Medium,1,1
Sitabuldi,School Washroom,4.7,6.3,64.9,Yes,438,6,3.7,High,8,0
Mihan,Public Washroom,4.5,6.6,55.3,Yes,400,4,15.0,High,3,2
Sitabuldi,Mall Washroom,4.0,7.1,62.5,Yes,422,7,3.1,High,7,6
Civil Lines,School Washroom,10.0,2.4,24.6,No,402,4,16.8,Medium,3,3
Manish Nagar,Hospital Washroom,4.5,6.8,66.9,Yes,555,9,9.6,High,5,5
Sadar,Public Washroom,6.4,5.0,20.3,Yes,246,2,3.4,Low,9,3
Mihan,School Washroom,7.1,4.7,39.5,Yes,798,6,2.8,Medium,7,3
Mihan,Hospital Washroom,7.6,2.8,24.9,Yes,260,3,3.6,Low,8,4
Kamptee Road,School Washroom,6.9,4.3,50.8,Yes,434,2,0.7,Low,6,4
Civil Lines,Office Washroom,8.9,1.8,0.0,Yes,290,0,4.1,Low,9,1
Dharampeth,School Washroom,5.6,4.9,52.4,No,372,6,17.3,High,3,1
Civil Lines,Hospital Washroom,9.0,5.3,46.1,Yes,360,4,4.1,Low,3,1
Kamptee Road,School Washroom,6.3,3.8,65.7,Yes,669,6,6.0,Medium,5,4
Dharampeth,Transit Washroom,6.7,4.2,36.0,Yes,151,4,0.9,Low,2,5
Civil Lines,Transit Washroom,8.4,3.0,2.2,Yes,759,0,2.3,Low,9,6
Nagpur Central,Mall Washroom,5.2,5.9,39.3,Yes,604,3,3.9,Medium,5,5
Dharampeth,Office Washroom,8.8,1.2,24.5,Yes,225,4,2.8,Low,9,2
Hingna,Mall Washroom,9.8,3.8,0.0,Yes,573,1,4.0,Low,4,6
Sitabuldi,Transit Washroom,5.4,4.0,55.0,Yes,795,6,0.5,Medium,7,6
Manish Nagar,Hospital Washroom,6.7,4.1,51.0,Yes,819,1,2.2,Medium,4,6
Sitabuldi,School Washroom,7.5,4.2,19.6,Yes,469,3,3.5,Low,8,0
Civil Lines,Office Washroom,4.9,5.5,73.3,Yes,829,6,8.8,High,3,2
Mihan,Office Washroom,8.2,4.0,12.4,Yes,402,4,0.5,Low,1,0
Hingna,Hospital Washroom,4.9,4.7,68.6,Yes,438,8,2.7,High,8,2
Kamptee Road,Mall Washroom,5.8,4.3,52.3,Yes,125,4,6.6,Medium,1,6
Wardha Road,Hospital Washroom,10.0,1.0,0.0,Yes,318,0,8.6,Low,5,4
Civil Lines,School Washroom,6.6,4.3,64.6,No,392,8,10.9,High,1,4
Civil Lines,Mall Washroom,4.9,4.4,54.2,No,114,6,2.3,High,1,0
Wardha Road,Transit Washroom,7.3,6.1,35.5,Yes,353,1,7.6,Medium,9,1
Wardha Road,Mall Washroom,6.0,5.8,38.2,Yes,194,4,4.8,Medium,4,5
Civil Lines,Hospital Washroom,3.4,8.6,78.4,Yes,293,10,3.0,High,5,3
Hingna,Transit Washroom,5.5,5.6,71.2,Yes,533,5,7.3,High,3,1
Sitabuldi,Hospital Washroom,6.6,4.3,47.1,Yes,525,5,3.9,Medium,8,6
Sitabuldi,Transit Washroom,7.2,3.2,48.2,No,526,8,2.8,Medium,4,5
Hingna,School Washroom,7.1,4.0,21.9,Yes,688,5,7.5,Medium,7,6
Sadar,Office Washroom,6.0,5.2,52.2,Yes,631,5,2.9,Medium,1,5
Manish Nagar,Hospital Washroom,5.3,5.3,42.2,Yes,211,6,1.4,Medium,1,5
Sitabuldi,School Washroom,4.2,7.2,49.4,Yes,394,8,1.1,High,4,1
Wardha Road,Mall Washroom,6.3,5.6,46.5,No,441,8,5.3,High,3,3
Nagpur Central,Mall Washroom,6.1,4.6,54.8,Yes,311,7,0.5,Medium,1,6
Manish Nagar,School Washroom,6.3,5.8,55.4,Yes,424,7,1.7,Medium,1,0
Manish Nagar,Public Washroom,4.9,4.5,55.5,Yes,727,8,13.3,High,3,0
Hingna,Hospital Washroom,8.3,3.0,11.3,Yes,502,0,27.1,Low,7,4
Civil Lines,Mall Washroom,7.7,4.7,50.8,Yes,250,4,2.0,Low,2,3
Mihan,Hospital Washroom,6.5,1.3,44.8,Yes,744,5,17.6,Medium,4,2
Dharampeth,Public Washroom,6.3,5.1,56.3,Yes,20,3,3.3,Medium,3,6
Dharampeth,Hospital Washroom,4.6,7.1,61.1,Yes,208,9,23.3,High,5,0
Dharampeth,Office Washroom,6.9,3.3,10.8,Yes,758,5,3.7,Low,3,4
Sitabuldi,Transit Washroom,3.7,7.2,64.1,No,552,11,6.7,High,8,3
Hingna,School Washroom,5.1,6.7,77.0,Yes,490,8,27.2,High,2,4
Wardha Road,Transit Washroom,9.5,2.5,19.6,Yes,336,0,10.9,Low,4,5
Nagpur Central,Mall Washroom,3.5,7.2,87.5,Yes,612,7,3.2,High,1,2
Sadar,Hospital Washroom,4.7,7.7,53.0,Yes,297,6,10.4,High,6,6
Dharampeth,School Washroom,7.0,3.9,42.4,Yes,741,1,2.0,Low,8,1
Dharampeth,Transit Washroom,7.3,3.1,38.6,Yes,371,3,4.0,Low,1,3
Mihan,Hospital Washroom,9.0,1.6,34.9,Yes,249,0,4.6,Low,4,5
Nagpur Central,Hospital Washroom,9.4,1.0,10.2,Yes,237,0,0.9,Low,4,4
Dharampeth,Hospital Washroom,4.7,7.8,65.1,Yes,166,7,0.8,High,7,2
Dharampeth,School Washroom,5.1,5.3,50.3,No,239,9,11.4,High,6,1
Nagpur Central,Transit Washroom,9.0,2.5,17.6,No,330,3,4.6,Low,9,6
Civil Lines,Office Washroom,5.2,5.7,37.5,Yes,20,3,11.4,Medium,4,2
Manish Nagar,School Washroom,6.3,4.0,30.9,No,623,4,5.3,Medium,5,4
Kamptee Road,Hospital Washroom,9.9,4.5,4.5,Yes,581,3,9.0,Low,6,2
Kamptee Road,Transit Washroom,5.3,2.7,48.0,Yes,320,3,2.6,Medium,4,3
Kamptee Road,Hospital Washroom,8.7,1.9,12.1,Yes,279,3,6.3,Low,8,6
Manish Nagar,Mall Washroom,7.8,2.3,38.4,Yes,438,4,0.5,Low,3,1
Dharampeth,Transit Washroom,6.9,4.1,66.7,Yes,326,7,0.5,Medium,8,3
Nagpur Central,School Washroom,8.5,1.0,40.7,Yes,157,2,2.0,Low,5,3
Sadar,Transit Washroom,3.1,5.4,96.9,No,323,12,0.5,High,5,5
Sadar,Hospital Washroom,9.0,1.0,11.6,Yes,485,0,9.3,Low,4,5
Hingna,Hospital Washroom,8.3,1.0,40.0,Yes,778,2,1.0,Low,1,2
Civil Lines,Public Washroom,5.5,5.3,43.2,Yes,344,5,9.3,Medium,6,0
Wardha Road,Transit Washroom,7.3,4.0,16.9,Yes,307,5,6.0,Low,2,5
Wardha Road,Hospital Washroom,6.6,5.2,57.7,Yes,538,6,5.8,Medium,4,0
Dharampeth,Mall Washroom,7.1,3.3,45.6,Yes,20,2,13.0,Low,1,0
Hingna,Hospital Washroom,5.6,6.2,32.0,Yes,45,5,0.5,Medium,2,5
Mihan,Public Washroom,5.2,4.8,52.3,No,523,7,12.2,High,8,0
Sadar,Mall Washroom,5.6,7.2,49.1,Yes,512,6,26.7,High,2,1
Dharampeth,Mall Washroom,4.1,6.3,58.1,Yes,506,5,13.2,High,8,1
Manish Nagar,School Washroom,6.2,4.5,45.4,Yes,370,4,1.5,Medium,4,0
Civil Lines,Public Washroom,7.1,2.5,50.9,Yes,757,4,5.7,Medium,2,0
Hingna,School Washroom,6.2,4.3,52.2,Yes,384,6,2.7,Medium,8,3
Sitabuldi,Hospital Washroom,8.1,3.0,26.0,Yes,498,5,12.0,Low,6,0
Nagpur Central,Public Washroom,4.5,3.9,67.8,Yes,88,3,22.4,Medium,3,3
Sadar,School Washroom,5.6,4.2,45.4,Yes,559,5,10.1,Medium,6,4
Kamptee Road,School Washroom,9.5,1.0,22.1,Yes,539,3,2.2,Low,1,2
Wardha Road,Office Washroom,8.3,2.4,23.0,Yes,429,3,6.5,Low,6,4
Civil Lines,Transit Washroom,5.7,4.5,49.5,Yes,511,4,5.0,Medium,3,4
Manish Nagar,Hospital Washroom,8.9,1.4,31.1,Yes,595,2,1.9,Low,8,2
Manish Nagar,Office Washroom,8.5,4.1,36.7,Yes,259,2,2.7,Low,2,2
Civil Lines,Transit Washroom,6.0,5.7,42.2,Yes,181,2,16.7,Medium,1,4
Hingna,Office Washroom,4.3,7.7,78.0,Yes,275,4,36.0,High,7,1
Kamptee Road,Public Washroom,7.0,5.3,27.2,Yes,602,5,0.7,Medium,7,0
Mihan,Hospital Washroom,4.5,4.3,68.2,Yes,145,4,5.4,Medium,3,0
Hingna,School Washroom,6.8,6.3,46.8,Yes,415,5,8.3,Medium,7,5
Civil Lines,Transit Washroom,6.4,1.0,33.4,Yes,508,1,25.9,Low,5,4
Hingna,Office Washroom,5.3,4.6,48.5,Yes,29,3,0.6,Medium,5,5
Sadar,Public Washroom,4.6,6.3,71.5,Yes,242,5,7.0,High,3,3
Hingna,Hospital Washroom,6.4,3.5,43.4,Yes,594,6,12.7,Medium,4,1
Sitabuldi,Mall Washroom,6.0,3.5,38.5,Yes,450,4,13.4,Medium,3,1
Civil Lines,Transit Washroom,6.5,1.8,41.2,Yes,679,7,5.5,Medium,7,0
Sitabuldi,Office Washroom,3.9,5.1,63.3,No,25,7,1.8,High,9,4
Sitabuldi,Mall Washroom,5.1,6.8,39.5,Yes,489,4,8.1,Medium,5,5
Hingna,Office Washroom,4.7,3.6,55.4,Yes,382,7,1.1,Medium,9,2
Dharampeth,School Washroom,6.6,3.8,37.2,No,64,4,5.7,Medium,3,0
Kamptee Road,School Washroom,4.2,4.4,63.5,No,427,7,8.5,High,1,4
Hingna,Office Washroom,7.2,4.1,62.2,Yes,214,5,10.1,Medium,2,4
Civil Lines,Transit Washroom,6.3,6.9,50.2,Yes,380,5,5.9,Medium,1,6
Hingna,Mall Washroom,6.6,4.5,43.7,Yes,356,3,3.4,Medium,3,5
Sitabuldi,Hospital Washroom,5.1,5.4,38.5,Yes,366,4,36.0,High,9,5
Dharampeth,Mall Washroom,7.2,2.4,31.4,No,94,4,3.8,Medium,3,3
Sitabuldi,School Washroom,6.8,6.5,46.9,Yes,398,5,11.6,Medium,1,1
Manish Nagar,Office Washroom,3.9,7.2,66.6,Yes,736,10,4.3,High,2,0
Sitabuldi,Mall Washroom,4.6,7.7,55.4,Yes,20,5,8.0,High,1,4
Civil Lines,Office Washroom,10.0,1.0,12.1,Yes,671,0,1.6,Low,4,2
Civil Lines,Office Washroom,5.6,4.3,30.2,Yes,20,2,2.4,Low,7,0
Wardha Road,Hospital Washroom,8.1,1.0,26.6,Yes,581,3,13.3,Low,6,6
Manish Nagar,Hospital Washroom,7.1,7.2,24.4,Yes,492,2,1.4,Medium,9,1
Hingna,Transit Washroom,6.3,6.9,37.1,No,716,6,6.4,High,8,5
Dharampeth,School Washroom,5.0,6.1,44.1,Yes,751,7,17.0,High,5,2
Manish Nagar,Office Washroom,4.7,3.5,26.2,Yes,454,6,23.3,Medium,1,0
Sitabuldi,Mall Washroom,6.0,6.3,47.9,Yes,228,4,1.5,Medium,5,0
Sadar,Office Washroom,7.6,2.2,5.6,Yes,541,5,15.5,Low,4,3
Kamptee Road,Public Washroom,8.2,1.0,13.2,Yes,730,4,0.6,Low,1,6
Mihan,Office Washroom,5.8,5.9,38.8,Yes,794,3,6.4,Medium,5,3
Kamptee Road,Hospital Washroom,10.0,1.0,10.1,Yes,583,1,0.5,Low,1,5
Nagpur Central,Mall Washroom,4.3,5.1,76.5,Yes,766,6,4.6,High,1,0
Wardha Road,Office Washroom,7.0,5.7,30.2,Yes,699,4,6.0,Medium,6,3
Civil Lines,Office Washroom,8.5,1.6,25.6,Yes,129,4,2.5,Low,4,4
Mihan,Public Washroom,9.3,1.4,27.1,Yes,106,2,6.1,Low,3,2
Manish Nagar,Hospital Washroom,5.4,6.3,68.2,No,585,7,9.6,High,9,0
Wardha Road,Hospital Washroom,4.1,6.3,47.9,Yes,630,4,12.6,High,8,2
Civil Lines,Transit Washroom,6.8,3.1,54.6,No,427,7,1.0,Medium,4,6
Hingna,Transit Washroom,5.0,4.7,68.4,Yes,406,6,5.4,Medium,2,1
Dharampeth,Public Washroom,4.4,6.2,81.7,Yes,627,9,3.1,High,7,0
Civil Lines,Transit Washroom,7.1,4.7,33.4,Yes,596,4,7.8,Medium,7,6
Sadar,Office Washroom,8.4,3.9,23.3,Yes,781,3,8.1,Low,2,1
Manish Nagar,Transit Washroom,5.7,5.7,65.3,Yes,333,0,11.1,Medium,2,0
Sitabuldi,Transit Washroom,5.5,6.6,69.4,No,369,10,2.5,High,3,4
Kamptee Road,School Washroom,6.6,4.1,28.2,Yes,56,5,4.8,Low,5,2
Kamptee Road,Mall Washroom,6.0,7.1,73.6,Yes,225,4,10.4,Medium,8,1
Nagpur Central,Public Washroom,5.4,4.7,43.4,Yes,654,4,4.4,Medium,6,4
Mihan,Hospital Washroom,7.5,1.3,31.1,Yes,367,4,8.7,Low,9,2
Sadar,Office Washroom,8.4,2.7,23.7,Yes,583,1,3.5,Low,7,2
Manish Nagar,Mall Washroom,7.7,2.9,13.0,Yes,446,3,7.4,Low,5,2
Civil Lines,School Washroom,6.2,2.4,22.8,Yes,654,2,2.6,Low,5,2
Sitabuldi,Mall Washroom,4.4,6.7,65.0,Yes,292,6,0.8,High,5,0
Mihan,Mall Washroom,6.2,4.9,48.2,Yes,450,5,4.1,Medium,7,4
Kamptee Road,School Washroom,4.2,7.1,52.1,Yes,501,6,11.2,High,2,4
Sadar,Mall Washroom,8.1,5.4,29.1,Yes,645,3,27.5,Medium,8,5
Manish Nagar,Hospital Washroom,4.6,7.3,60.3,Yes,700,8,1.8,High,7,6
Sadar,Public Washroom,8.1,4.7,28.5,Yes,152,2,4.9,Low,1,1
Nagpur Central,Public Washroom,8.1,3.0,44.0,Yes,510,1,3.8,Low,5,1
Nagpur Central,Public Washroom,3.9,6.1,63.8,Yes,311,4,2.1,Medium,6,1
Mihan,Mall Washroom,6.4,4.1,50.8,Yes,628,6,2.9,Medium,6,5
Sadar,Transit Washroom,7.4,5.5,30.7,No,522,5,5.0,Medium,9,1
Dharampeth,Transit Washroom,7.0,4.5,50.9,Yes,364,7,18.4,Medium,3,1
Civil Lines,Hospital Washroom,7.3,4.6,35.2,Yes,639,3,7.6,Medium,1,5
Kamptee Road,Office Washroom,7.2,4.0,27.0,Yes,280,1,3.7,Low,9,5
Sadar,Public Washroom,5.1,5.2,51.8,Yes,347,5,0.5,Medium,1,5
Nagpur Central,Hospital Washroom,5.5,4.9,53.1,Yes,596,3,5.6,Medium,5,1
Wardha Road,Transit Washroom,7.0,6.0,70.4,Yes,470,6,19.8,High,2,6
Dharampeth,Hospital Washroom,4.5,6.4,32.1,Yes,450,5,7.2,Medium,1,2
Kamptee Road,Mall Washroom,7.6,3.8,27.2,Yes,417,4,3.7,Low,4,3
Dharampeth,Office Washroom,9.0,1.0,12.7,Yes,137,0,9.1,Low,8,4
Wardha Road,School Washroom,7.0,2.4,18.5,Yes,420,6,6.9,Low,6,1
Wardha Road,School Washroom,4.7,6.4,44.9,Yes,210,4,1.8,Medium,5,0
Sadar,Office Washroom,4.6,6.8,54.7,Yes,20,6,5.5,Medium,6,2
Dharampeth,Public Washroom,6.3,4.9,43.0,Yes,364,3,6.1,Medium,3,5
Dharampeth,Mall Washroom,5.3,5.9,51.5,Yes,889,5,2.2,Medium,4,2
Civil Lines,Mall Washroom,8.7,1.6,38.0,Yes,706,1,12.8,Low,2,2
Dharampeth,Office Washroom,5.4,7.6,48.4,Yes,388,4,11.1,Medium,8,6
Wardha Road,Transit Washroom,9.3,1.7,0.0,No,222,2,0.5,Low,1,3
Dharampeth,Office Washroom,4.8,5.7,56.2,Yes,309,8,36.0,High,9,2
Manish Nagar,Public Washroom,5.8,3.1,60.0,Yes,301,6,10.3,Medium,7,4
Sadar,Public Washroom,4.8,7.0,51.2,Yes,77,4,1.7,Medium,5,3
Wardha Road,Office Washroom,7.9,3.0,45.7,Yes,334,3,4.0,Low,7,1
Mihan,Public Washroom,5.3,7.3,66.1,No,458,10,7.2,High,3,0
Sadar,Transit Washroom,6.3,5.5,40.6,Yes,627,7,0.7,Medium,1,2
Kamptee Road,Office Washroom,9.8,1.0,14.8,Yes,396,0,0.9,Low,4,5
Hingna,Transit Washroom,6.5,5.0,59.8,Yes,76,4,1.1,Medium,1,5
Dharampeth,School Washroom,8.3,1.8,27.1,Yes,507,2,8.9,Low,1,0
Sadar,School Washroom,8.5,1.5,8.0,No,362,5,2.6,Low,7,4
Nagpur Central,Office Washroom,3.4,7.5,84.7,Yes,286,8,0.7,High,1,0
Manish Nagar,Office Washroom,10.0,2.0,6.4,Yes,428,0,8.6,Low,7,2
Sadar,Office Washroom,10.0,1.0,11.2,Yes,507,5,3.7,Low,5,6
Hingna,Office Washroom,6.4,3.9,56.1,Yes,396,2,8.5,Medium,4,0
Sitabuldi,Hospital Washroom,4.6,5.8,53.3,Yes,707,5,1.1,Medium,4,1
Wardha Road,Public Washroom,4.3,5.7,35.6,No,20,9,11.0,High,3,6
Hingna,Hospital Washroom,2.1,7.8,92.1,Yes,560,9,9.7,High,7,4
Sitabuldi,Office Washroom,2.5,5.7,90.9,No,590,10,11.3,High,2,1
Mihan,Office Washroom,10.0,1.6,0.0,Yes,228,0,6.8,Low,2,1
Sitabuldi,Office Washroom,6.8,2.4,40.5,Yes,127,5,5.1,Low,3,3
Dharampeth,Office Washroom,6.7,5.6,73.0,No,332,7,1.9,High,4,2
Hingna,School Washroom,5.3,9.1,36.3,Yes,235,5,4.6,Medium,5,3
Kamptee Road,Public Washroom,6.8,2.4,50.9,Yes,116,1,21.0,Medium,1,1
Kamptee Road,School Washroom,5.4,3.3,61.3,Yes,695,5,3.8,Medium,1,2
Manish Nagar,Transit Washroom,3.7,7.1,79.8,Yes,485,8,2.7,High,8,2
Dharampeth,Office Washroom,4.5,8.2,51.1,No,121,9,0.7,High,9,0
Mihan,Public Washroom,7.2,1.0,34.7,Yes,318,3,4.5,Low,4,1
Mihan,Mall Washroom,8.7,2.3,45.2,No,530,3,1.0,Medium,2,5
Wardha Road,Transit Washroom,4.9,7.3,39.4,Yes,689,5,22.4,High,3,6
Manish Nagar,Mall Washroom,7.7,5.1,12.5,Yes,661,5,0.5,Low,6,6
Mihan,School Washroom,6.6,3.0,37.7,Yes,351,3,1.7,Low,8,6
Mihan,Public Washroom,5.4,5.5,53.0,No,452,10,4.8,High,7,2
Wardha Road,Public Washroom,6.2,4.7,54.5,Yes,310,5,12.9,Medium,1,3
Hingna,Office Washroom,7.6,3.6,36.4,Yes,272,2,0.7,Low,2,2
Nagpur Central,Public Washroom,7.2,4.7,25.7,Yes,140,5,6.2,Low,7,5
Manish Nagar,School Washroom,5.7,5.4,38.4,No,588,6,13.9,High,2,1
Mihan,Mall Washroom,8.3,4.2,24.7,Yes,696,2,8.9,Low,2,5
Sitabuldi,Transit Washroom,5.8,4.1,19.6,No,360,9,2.9,High,7,2
Dharampeth,Public Washroom,4.3,6.1,52.3,Yes,241,4,7.1,Medium,1,3
Wardha Road,Hospital Washroom,1.3,7.4,95.8,Yes,510,11,4.0,High,1,5
Nagpur Central,Public Washroom,3.9,6.4,76.3,Yes,440,6,11.7,High,6,0
Wardha Road,Mall Washroom,8.5,2.0,13.7,Yes,390,1,1.4,Low,6,4
Hingna,Mall Washroom,4.3,6.9,70.7,Yes,456,9,4.6,High,8,1
Wardha Road,Public Washroom,3.4,9.1,77.3,Yes,307,6,0.5,High,6,4
Manish Nagar,Mall Washroom,7.9,2.9,70.3,Yes,552,2,13.9,Medium,3,6
Sadar,Transit Washroom,5.6,6.7,34.4,Yes,815,7,3.5,Medium,6,3
Sitabuldi,Office Washroom,6.1,5.5,52.4,No,57,9,4.4,High,9,0
Kamptee Road,Mall Washroom,6.7,3.5,55.3,Yes,357,5,11.0,Medium,2,4
Wardha Road,School Washroom,7.7,3.3,46.2,Yes,479,3,0.9,Low,2,5
Wardha Road,Office Washroom,6.9,4.6,35.7,Yes,428,3,10.7,Medium,4,5
Sadar,Transit Washroom,6.9,5.1,33.5,Yes,645,4,1.2,Medium,2,6
Manish Nagar,Transit Washroom,6.7,3.6,51.6,Yes,379,3,2.1,Medium,2,4
Sitabuldi,Mall Washroom,8.2,1.8,31.4,No,446,5,0.5,Medium,7,0
Kamptee Road,Public Washroom,6.9,2.7,29.2,Yes,334,1,2.8,Low,4,6
Mihan,Office Washroom,9.5,1.1,9.2,Yes,455,0,18.9,Low,8,3
Wardha Road,School Washroom,6.8,4.9,38.3,No,419,8,1.5,High,6,4
Hingna,Mall Washroom,5.7,5.3,62.8,Yes,593,4,2.5,Medium,2,6
Sadar,Transit Washroom,8.4,2.9,14.5,Yes,501,0,3.8,Low,7,4
Kamptee Road,Mall Washroom,6.4,5.4,39.3,Yes,438,0,8.9,Medium,6,3
Wardha Road,Transit Washroom,8.6,2.6,45.2,Yes,690,2,5.0,Low,8,2
Mihan,Mall Washroom,8.1,3.7,24.0,Yes,639,1,8.7,Low,6,2
Sitabuldi,Mall Washroom,4.4,6.3,57.2,Yes,791,4,7.6,High,1,3
Hingna,Mall Washroom,7.8,4.5,17.6,Yes,614,2,8.6,Low,6,4
Manish Nagar,Public Washroom,8.7,3.5,22.3,Yes,1074,3,3.9,Low,3,5
Hingna,Mall Washroom,4.8,7.4,79.4,Yes,542,9,3.3,High,5,4
Mihan,Office Washroom,3.5,6.0,60.0,Yes,234,7,1.8,High,3,0
Nagpur Central,Office Washroom,7.1,5.1,61.9,Yes,237,4,36.0,High,2,4
Mihan,Mall Washroom,5.5,5.2,36.6,Yes,522,5,7.7,Medium,8,5
Civil Lines,School Washroom,4.8,5.4,65.9,Yes,667,5,4.5,High,1,6
Civil Lines,School Washroom,7.4,4.1,27.0,Yes,195,4,3.4,Low,1,1
Mihan,Transit Washroom,6.1,4.3,25.8,Yes,469,8,9.9,Medium,5,6
Kamptee Road,Transit Washroom,5.8,7.6,63.7,Yes,73,5,24.2,High,2,0
Wardha Road,Hospital Washroom,6.2,5.2,32.7,Yes,747,2,5.4,Medium,8,1
Mihan,Transit Washroom,7.0,3.9,42.6,No,428,4,6.2,Medium,2,6
Manish Nagar,Office Washroom,6.7,4.7,67.1,Yes,405,6,2.5,Medium,5,5
Mihan,Hospital Washroom,7.5,2.7,27.0,Yes,413,1,18.1,Low,3,3
Civil Lines,Office Washroom,6.9,3.2,35.0,Yes,188,3,14.9,Medium,3,0
Sadar,Transit Washroom,7.1,5.0,18.2,Yes,189,4,9.7,Low,3,4
Hingna,Mall Washroom,6.2,3.6,31.5,Yes,142,2,1.4,Low,4,3
Hingna,Mall Washroom,7.4,3.2,20.1,Yes,453,3,19.7,Medium,8,1
Wardha Road,Hospital Washroom,5.5,7.0,58.6,Yes,402,7,3.3,High,5,2
Kamptee Road,Hospital Washroom,4.2,6.7,70.5,Yes,136,8,10.4,High,4,4
Wardha Road,Office Washroom,3.8,3.5,67.0,Yes,459,4,0.5,Medium,8,0
Civil Lines,Mall Washroom,7.6,3.2,23.1,Yes,374,2,6.8,Low,4,2
Dharampeth,Mall Washroom,9.8,3.5,30.1,Yes,584,0,10.8,Low,4,6
Wardha Road,Hospital Washroom,3.7,7.7,79.4,Yes,644,8,36.0,High,8,4
Dharampeth,School Washroom,6.8,4.6,43.1,Yes,216,5,0.5,Medium,8,4
Sadar,Transit Washroom,6.0,5.9,46.8,Yes,365,4,5.8,Medium,8,6
Sitabuldi,Mall Washroom,3.8,5.0,66.4,Yes,329,6,6.4,High,9,5
Kamptee Road,Mall Washroom,8.5,1.0,0.4,Yes,394,3,17.6,Low,1,4
Dharampeth,Transit Washroom,8.5,1.9,0.7,Yes,595,2,11.5,Low,9,4
Wardha Road,Transit Washroom,6.4,1.0,34.9,Yes,405,4,36.0,Medium,2,0
Manish Nagar,Mall Washroom,7.4,2.7,48.2,Yes,117,0,1.7,Low,4,2
Sitabuldi,Public Washroom,4.7,5.8,63.9,Yes,20,5,4.3,Medium,4,2
Nagpur Central,Public Washroom,7.5,5.4,21.0,Yes,289,2,5.8,Low,8,2
Kamptee Road,Office Washroom,8.6,1.8,35.4,Yes,304,2,8.0,Low,8,6
Sitabuldi,Public Washroom,6.3,3.8,65.8,Yes,586,6,0.5,Medium,5,1
Dharampeth,Public Washroom,4.9,6.3,61.9,Yes,495,4,1.4,Medium,2,0
Dharampeth,Mall Washroom,3.0,8.0,79.6,Yes,820,10,12.5,High,6,1
Dharampeth,Public Washroom,6.1,4.3,43.6,Yes,530,2,6.7,Medium,6,6
Sitabuldi,Public Washroom,5.9,7.3,55.5,Yes,614,5,2.1,Medium,7,6
Hingna,Mall Washroom,5.9,5.5,45.0,Yes,738,4,6.8,Medium,5,1
Civil Lines,Office Washroom,7.6,1.3,30.2,Yes,290,0,5.6,Low,1,1
Sadar,Public Washroom,8.8,1.8,3.9,Yes,516,0,4.1,Low,5,4
Manish Nagar,Public Washroom,10.0,1.0,0.0,No,132,1,5.3,Low,4,4
Nagpur Central,Mall Washroom,7.0,4.8,62.4,Yes,674,4,1.5,Medium,1,4
Sitabuldi,Public Washroom,5.5,6.2,52.3,No,734,9,4.5,High,4,2
Wardha Road,Office Washroom,6.8,3.6,41.5,No,377,5,3.0,Medium,4,6
Nagpur Central,School Washroom,6.7,3.2,60.4,Yes,638,5,3.5,Medium,9,6
Manish Nagar,Office Washroom,8.5,4.3,50.9,Yes,339,3,9.5,Low,7,4
Manish Nagar,Transit Washroom,6.2,5.1,35.9,Yes,355,2,4.7,Medium,4,3
Dharampeth,School Washroom,8.0,4.3,50.8,No,669,6,6.0,Medium,4,1
Sadar,Hospital Washroom,7.8,2.0,50.5,Yes,421,3,2.5,Low,5,3
Nagpur Central,Public Washroom,3.3,6.9,76.3,No,889,10,17.1,High,8,6
Sadar,Public Washroom,9.5,1.4,1.8,Yes,423,1,12.4,Low,9,4
Nagpur Central,School Washroom,5.6,5.2,50.8,Yes,541,5,2.6,Medium,2,0
Sitabuldi,Hospital Washroom,5.9,4.4,31.3,Yes,502,3,28.1,Medium,7,0
Manish Nagar,School Washroom,6.6,3.0,27.0,Yes,278,2,8.8,Low,1,5
Kamptee Road,Mall Washroom,6.5,2.5,44.0,Yes,243,2,8.7,Low,1,3
Kamptee Road,Mall Washroom,5.2,5.5,58.6,Yes,367,5,3.4,Medium,2,2
Sadar,Hospital Washroom,6.6,3.7,33.7,Yes,665,4,10.0,Medium,4,5
Kamptee Road,Transit Washroom,2.6,7.8,87.4,Yes,416,8,3.2,High,9,6
Sadar,School Washroom,7.4,2.3,9.8,No,348,4,4.5,Medium,2,1
Sitabuldi,School Washroom,8.5,3.6,32.8,Yes,515,2,1.4,Low,2,4
