facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,hygiene_risk
F0282,Manish Nagar,Mall Washroom,7.3,3.1,51.9,,527,2,2026-02-03,3.7,Low
F0283,Dharampeth,Public Washroom,2.1,10.0,83.8,,594,11,2026-03-31,0.9,High
F0284,Sitabuldi,Hospital Washroom,6.0,4.5,27.0,,686,4,2026-05-13,11.5,Medium
F0285,Manish Nagar,Mall Washroom,8.7,3.9,20.3,,885,3,2026-02-02,0.5,Low
F0286,Wardha Road,Office Washroom,5.0,7.8,53.9,,355,6,2026-03-27,14.7,High
F0287,Nagpur Central,School Washroom,6.4,5.2,24.3,,272,6,2026-05-06,5.3,Medium
F0288,Sadar,Hospital Washroom,7.4,1.7,59.1,,487,3,2026-08-03,12.2,Medium
F0289,Kamptee Road,Public Washroom,6.4,7.5,33.3,,802,5,2026-04-25,1.0,Medium
F0290,Nagpur Central,Hospital Washroom,5.8,5.7,48.3,,344,8,2026-08-22,3.0,Medium
F0291,Kamptee Road,Office Washroom,7.1,5.5,31.6,,719,2,2026-04-11,6.7,Medium
F0292,Wardha Road,Public Washroom,6.5,6.3,69.9,,127,4,2026-01-05,8.9,Medium
F0293,Manish Nagar,Public Washroom,6.5,3.2,42.6,,241,0,2026-03-14,30.6,Medium
F0294,Civil Lines,Public Washroom,8.7,3.2,26.5,,30,3,2026-02-13,4.6,Low
F0295,Hingna,Mall Washroom,3.7,7.2,53.9,,611,8,2026-06-11,8.1,High
F0296,Sitabuldi,Public Washroom,7.6,4.0,22.8,,484,7,2026-02-25,1.1,Low
F0297,Dharampeth,Office Washroom,7.5,4.8,20.1,,581,6,2026-03-03,1.7,Medium
F0298,Dharampeth,Mall Washroom,7.8,3.6,20.6,,308,2,2026-03-17,14.6,Low
F0299,Kamptee Road,Mall Washroom,6.4,5.8,23.4,,402,5,2026-08-20,35.1,High
F0300,Sitabuldi,Office Washroom,6.8,3.6,38.9,,460,3,2026-04-24,0.5,Low
F0301,Sadar,Mall Washroom,7.2,2.7,23.4,,198,3,2026-02-03,2.2,Low
F0302,Nagpur Central,Office Washroom,6.0,4.4,50.6,,524,6,2026-08-25,0.5,High
F0303,Manish Nagar,School Washroom,8.2,2.2,25.6,,175,0,2026-05-21,4.2,Low
F0304,Nagpur Central,Public Washroom,9.7,1.6,12.2,,434,2,2026-09-03,4.0,Low
F0305,Wardha Road,School Washroom,6.2,5.5,55.3,,864,6,2026-07-15,7.5,Medium
F0306,Civil Lines,Office Washroom,3.2,6.4,44.0,,211,9,2026-06-13,1.5,High
F0307,Dharampeth,Office Washroom,9.8,1.6,8.9,,822,0,2026-03-23,3.3,Low
F0308,Civil Lines,School Washroom,5.7,4.7,41.5,,494,4,2026-04-23,36.0,High
F0309,Wardha Road,Transit Washroom,4.2,8.8,69.1,,316,6,2026-01-15,12.3,High
F0310,Sitabuldi,School Washroom,2.4,7.1,73.4,,883,8,2026-06-08,5.1,High
F0311,Sitabuldi,Hospital Washroom,7.0,4.1,36.7,,403,1,2026-06-24,3.0,Low
F0312,Dharampeth,Hospital Washroom,4.1,7.6,68.0,,497,7,2026-07-06,5.6,High
F0313,Wardha Road,Office Washroom,5.6,3.6,40.7,,327,4,2026-09-07,27.9,Medium
F0314,Hingna,Hospital Washroom,4.4,6.2,45.1,,273,7,2026-03-31,8.2,High
F0315,Sitabuldi,Transit Washroom,6.2,3.7,46.6,,441,6,2026-01-17,6.4,Medium
F0316,Dharampeth,Office Washroom,3.8,6.2,91.0,,364,6,2026-06-19,5.1,High
F0317,Manish Nagar,Office Washroom,5.4,6.5,29.8,,20,4,2026-01-06,8.3,Medium
F0318,Sitabuldi,School Washroom,4.7,6.3,64.9,,438,6,2026-08-03,3.7,High
F0319,Mihan,Public Washroom,4.5,6.6,55.3,,400,4,2026-03-25,15.0,High
F0320,Sitabuldi,Mall Washroom,4.0,7.1,62.5,,422,7,2026-07-12,3.1,High
F0321,Civil Lines,School Washroom,10.0,2.4,24.6,,402,4,2026-03-26,16.8,Medium
F0322,Manish Nagar,Hospital Washroom,4.5,6.8,66.9,,555,9,2026-05-16,9.6,High
F0323,Sadar,Public Washroom,6.4,5.0,20.3,,246,2,2026-09-03,3.4,Low
F0324,Mihan,School Washroom,7.1,4.7,39.5,,798,6,2026-07-23,2.8,Medium
F0325,Mihan,Hospital Washroom,7.6,2.8,24.9,,260,3,2026-08-14,3.6,Low
F0326,Kamptee Road,School Washroom,6.9,4.3,50.8,,434,2,2026-06-26,0.7,Low
F0327,Civil Lines,Office Washroom,8.9,1.8,0.0,,290,0,2026-09-01,4.1,Low
F0328,Dharampeth,School Washroom,5.6,4.9,52.4,,372,6,2026-03-17,17.3,High
F0329,Civil Lines,Hospital Washroom,9.0,5.3,46.1,,360,4,2026-03-17,4.1,Low
F0330,Kamptee Road,School Washroom,6.3,3.8,65.7,,669,6,2026-05-22,6.0,Medium
F0331,Dharampeth,Transit Washroom,6.7,4.2,36.0,,151,4,2026-02-21,0.9,Low
F0332,Civil Lines,Transit Washroom,8.4,3.0,2.2,,759,0,2026-09-06,2.3,Low
F0333,Nagpur Central,Mall Washroom,5.2,5.9,39.3,,604,3,2026-05-02,3.9,Medium
F0334,Dharampeth,Office Washroom,8.8,1.2,24.5,,225,4,2026-09-09,2.8,Low
F0335,Hingna,Mall Washroom,9.8,3.8,0.0,,573,1,2026-04-19,4.0,Low
F0336,Sitabuldi,Transit Washroom,5.4,4.0,55.0,,795,6,2026-07-26,0.5,Medium
F0337,Manish Nagar,Hospital Washroom,6.7,4.1,51.0,,819,1,2026-04-12,2.2,Medium
F0338,Sitabuldi,School Washroom,7.5,4.2,19.6,,469,3,2026-08-17,3.5,Low
F0339,Civil Lines,Office Washroom,4.9,5.5,73.3,,829,6,2026-03-25,8.8,High
F0340,Mihan,Office Washroom,8.2,4.0,12.4,,402,4,2026-01-05,0.5,Low
F0341,Hingna,Hospital Washroom,4.9,4.7,68.6,,438,8,2026-08-05,2.7,High
F0342,Kamptee Road,Mall Washroom,5.8,4.3,52.3,,125,4,2026-01-04,6.6,Medium
F0343,Wardha Road,Hospital Washroom,10.0,1.0,0.0,,318,0,2026-05-22,8.6,Low
F0344,Civil Lines,School Washroom,6.6,4.3,64.6,,392,8,2026-01-30,10.9,High
F0345,Civil Lines,Mall Washroom,4.9,4.4,54.2,,114,6,2026-01-19,2.3,High
F0346,Wardha Road,Transit Washroom,7.3,6.1,35.5,,353,1,2026-09-01,7.6,Medium
F0347,Wardha Road,Mall Washroom,6.0,5.8,38.2,,194,4,2026-04-04,4.8,Medium
F0348,Civil Lines,Hospital Washroom,3.4,8.6,78.4,,293,10,2026-05-14,3.0,High
F0349,Hingna,Transit Washroom,5.5,5.6,71.2,,533,5,2026-03-03,7.3,High
F0350,Sitabuldi,Hospital Washroom,6.6,4.3,47.1,,525,5,2026-08-23,3.9,Medium
F0351,Sitabuldi,Transit Washroom,7.2,3.2,48.2,,526,8,2026-04-18,2.8,Medium
F0352,Hingna,School Washroom,7.1,4.0,21.9,,688,5,2026-07-26,7.5,Medium
F0353,Sadar,Office Washroom,6.0,5.2,52.2,,631,5,2026-01-03,2.9,Medium
F0354,Manish Nagar,Hospital Washroom,5.3,5.3,42.2,,211,6,2026-01-24,1.4,Medium
F0355,Sitabuldi,School Washroom,4.2,7.2,49.4,,394,8,2026-04-07,1.1,High
F0356,Wardha Road,Mall Washroom,6.3,5.6,46.5,,441,8,2026-03-05,5.3,High
F0357,Nagpur Central,Mall Washroom,6.1,4.6,54.8,,311,7,2026-01-11,0.5,Medium
F0358,Manish Nagar,School Washroom,6.3,5.8,55.4,,424,7,2026-01-05,1.7,Medium
F0359,Manish Nagar,Public Washroom,4.9,4.5,55.5,,727,8,2026-03-02,13.3,High
F0360,Hingna,Hospital Washroom,8.3,3.0,11.3,,502,0,2026-07-03,27.1,Low
F0361,Civil Lines,Mall Washroom,7.7,4.7,50.8,,250,4,2026-02-26,2.0,Low
F0362,Mihan,Hospital Washroom,6.5,1.3,44.8,,744,5,2026-04-29,17.6,Medium
F0363,Dharampeth,Public Washroom,6.3,5.1,56.3,,20,3,2026-03-01,3.3,Medium
F0364,Dharampeth,Hospital Washroom,4.6,7.1,61.1,,208,9,2026-05-18,23.3,High
F0365,Dharampeth,Office Washroom,6.9,3.3,10.8,,758,5,2026-03-27,3.7,Low
F0366,Sitabuldi,Transit Washroom,3.7,7.2,64.1,,552,11,2026-08-13,6.7,High
F0367,Hingna,School Washroom,5.1,6.7,77.0,,490,8,2026-02-27,27.2,High
F0368,Wardha Road,Transit Washroom,9.5,2.5,19.6,,336,0,2026-04-25,10.9,Low
F0369,Nagpur Central,Mall Washroom,3.5,7.2,87.5,,612,7,2026-01-28,3.2,High
F0370,Sadar,Hospital Washroom,4.7,7.7,53.0,,297,6,2026-06-14,10.4,High
F0371,Dharampeth,School Washroom,7.0,3.9,42.4,,741,1,2026-08-18,2.0,Low
F0372,Dharampeth,Transit Washroom,7.3,3.1,38.6,,371,3,2026-01-01,4.0,Low
F0373,Mihan,Hospital Washroom,9.0,1.6,34.9,,249,0,2026-04-25,4.6,Low
F0374,Nagpur Central,Hospital Washroom,9.4,1.0,10.2,,237,0,2026-04-24,0.9,Low
F0375,Dharampeth,Hospital Washroom,4.7,7.8,65.1,,166,7,2026-07-29,0.8,High
F0376,Dharampeth,School Washroom,5.1,5.3,50.3,,239,9,2026-06-23,11.4,High
F0377,Nagpur Central,Transit Washroom,9.0,2.5,17.6,,330,3,2026-09-13,4.6,Low
F0378,Civil Lines,Office Washroom,5.2,5.7,37.5,,20,3,2026-04-01,11.4,Medium
F0379,Manish Nagar,School Washroom,6.3,4.0,30.9,,623,4,2026-05-08,5.3,Medium
F0380,Kamptee Road,Hospital Washroom,9.9,4.5,4.5,,581,3,2026-06-03,9.0,Low
F0381,Kamptee Road,Transit Washroom,5.3,2.7,48.0,,320,3,2026-04-02,2.6,Medium
F0382,Kamptee Road,Hospital Washroom,8.7,1.9,12.1,,279,3,2026-08-02,6.3,Low
F0383,Manish Nagar,Mall Washroom,7.8,2.3,38.4,,438,4,2026-03-24,0.5,Low
F0384,Dharampeth,Transit Washroom,6.9,4.1,66.7,,326,7,2026-08-20,0.5,Medium
F0385,Nagpur Central,School Washroom,8.5,1.0,40.7,,157,2,2026-05-28,2.0,Low
F0386,Sadar,Transit Washroom,3.1,5.4,96.9,,323,12,2026-05-09,0.5,High
F0387,Sadar,Hospital Washroom,9.0,1.0,11.6,,485,0,2026-04-11,9.3,Low
F0388,Hingna,Hospital Washroom,8.3,1.0,40.0,,778,2,2026-01-21,1.0,Low
F0389,Civil Lines,Public Washroom,5.5,5.3,43.2,,344,5,2026-06-15,9.3,Medium
F0390,Wardha Road,Transit Washroom,7.3,4.0,16.9,,307,5,2026-02-07,6.0,Low
F0391,Wardha Road,Hospital Washroom,6.6,5.2,57.7,,538,6,2026-04-20,5.8,Medium
F0392,Dharampeth,Mall Washroom,7.1,3.3,45.6,,20,2,2026-01-05,13.0,Low
F0393,Hingna,Hospital Washroom,5.6,6.2,32.0,,45,5,2026-02-28,0.5,Medium
F0394,Mihan,Public Washroom,5.2,4.8,52.3,,523,7,2026-08-17,12.2,High
F0395,Sadar,Mall Washroom,5.6,7.2,49.1,,512,6,2026-02-03,26.7,High
F0396,Dharampeth,Mall Washroom,4.1,6.3,58.1,,506,5,2026-08-11,13.2,High
F0397,Manish Nagar,School Washroom,6.2,4.5,45.4,,370,4,2026-04-27,1.5,Medium
F0398,Civil Lines,Public Washroom,7.1,2.5,50.9,,757,4,2026-02-02,5.7,Medium
F0399,Hingna,School Washroom,6.2,4.3,52.2,,384,6,2026-08-13,2.7,Medium
F0400,Sitabuldi,Hospital Washroom,8.1,3.0,26.0,,498,5,2026-06-01,12.0,Low
F0401,Nagpur Central,Public Washroom,4.5,3.9,67.8,,88,3,2026-03-05,22.4,Medium
F0402,Sadar,School Washroom,5.6,4.2,45.4,,559,5,2026-06-26,10.1,Medium
F0403,Kamptee Road,School Washroom,9.5,1.0,22.1,,539,3,2026-01-28,2.2,Low
F0404,Wardha Road,Office Washroom,8.3,2.4,23.0,,429,3,2026-06-19,6.5,Low
F0405,Civil Lines,Transit Washroom,5.7,4.5,49.5,,511,4,2026-03-20,5.0,Medium
F0406,Manish Nagar,Hospital Washroom,8.9,1.4,31.1,,595,2,2026-08-12,1.9,Low
F0407,Manish Nagar,Office Washroom,8.5,4.1,36.7,,259,2,2026-02-11,2.7,Low
F0408,Civil Lines,Transit Washroom,6.0,5.7,42.2,,181,2,2026-01-16,16.7,Medium
F0409,Hingna,Office Washroom,4.3,7.7,78.0,,275,4,2026-07-07,36.0,High
F0410,Kamptee Road,Public Washroom,7.0,5.3,27.2,,602,5,2026-07-06,0.7,Medium
F0411,Mihan,Hospital Washroom,4.5,4.3,68.2,,145,4,2026-03-16,5.4,Medium
F0412,Hingna,School Washroom,6.8,6.3,46.8,,415,5,2026-07-04,8.3,Medium
F0413,Civil Lines,Transit Washroom,6.4,1.0,33.4,,508,1,2026-05-15,25.9,Low
F0414,Hingna,Office Washroom,5.3,4.6,48.5,,29,3,2026-05-09,0.6,Medium
F0415,Sadar,Public Washroom,4.6,6.3,71.5,,242,5,2026-03-26,7.0,High
F0416,Hingna,Hospital Washroom,6.4,3.5,43.4,,594,6,2026-04-28,12.7,Medium
F0417,Sitabuldi,Mall Washroom,6.0,3.5,38.5,,450,4,2026-03-24,13.4,Medium
F0418,Civil Lines,Transit Washroom,6.5,1.8,41.2,,679,7,2026-07-27,5.5,Medium
F0419,Sitabuldi,Office Washroom,3.9,5.1,63.3,,25,7,2026-09-04,1.8,High
F0420,Sitabuldi,Mall Washroom,5.1,6.8,39.5,,489,4,2026-05-16,8.1,Medium
F0421,Hingna,Office Washroom,4.7,3.6,55.4,,382,7,2026-09-16,1.1,Medium
F0422,Dharampeth,School Washroom,6.6,3.8,37.2,,64,4,2026-03-02,5.7,Medium
F0423,Kamptee Road,School Washroom,4.2,4.4,63.5,,427,7,2026-01-23,8.5,High
F0424,Hingna,Office Washroom,7.2,4.1,62.2,,214,5,2026-02-20,10.1,Medium
F0425,Civil Lines,Transit Washroom,6.3,6.9,50.2,,380,5,2026-01-04,5.9,Medium
F0426,Hingna,Mall Washroom,6.6,4.5,43.7,,356,3,2026-03-21,3.4,Medium
F0427,Sitabuldi,Hospital Washroom,5.1,5.4,38.5,,366,4,2026-09-05,36.0,High
F0428,Dharampeth,Mall Washroom,7.2,2.4,31.4,,94,4,2026-03-12,3.8,Medium
F0429,Sitabuldi,School Washroom,6.8,6.5,46.9,,398,5,2026-01-27,11.6,Medium
F0430,Manish Nagar,Office Washroom,3.9,7.2,66.6,,736,10,2026-02-02,4.3,High
F0431,Sitabuldi,Mall Washroom,4.6,7.7,55.4,,20,5,2026-01-30,8.0,High
F0432,Civil Lines,Office Washroom,10.0,1.0,12.1,,671,0,2026-04-29,1.6,Low
F0433,Civil Lines,Office Washroom,5.6,4.3,30.2,,20,2,2026-07-27,2.4,Low
F0434,Wardha Road,Hospital Washroom,8.1,1.0,26.6,,581,3,2026-06-28,13.3,Low
F0435,Manish Nagar,Hospital Washroom,7.1,7.2,24.4,,492,2,2026-09-15,1.4,Medium
F0436,Hingna,Transit Washroom,6.3,6.9,37.1,,716,6,2026-08-15,6.4,High
F0437,Dharampeth,School Washroom,5.0,6.1,44.1,,751,7,2026-05-13,17.0,High
F0438,Manish Nagar,Office Washroom,4.7,3.5,26.2,,454,6,2026-01-05,23.3,Medium
F0439,Sitabuldi,Mall Washroom,6.0,6.3,47.9,,228,4,2026-05-18,1.5,Medium
F0440,Sadar,Office Washroom,7.6,2.2,5.6,,541,5,2026-04-16,15.5,Low
F0441,Kamptee Road,Public Washroom,8.2,1.0,13.2,,730,4,2026-01-04,0.6,Low
F0442,Mihan,Office Washroom,5.8,5.9,38.8,,794,3,2026-05-21,6.4,Medium
F0443,Kamptee Road,Hospital Washroom,10.0,1.0,10.1,,583,1,2026-01-17,0.5,Low
F0444,Nagpur Central,Mall Washroom,4.3,5.1,76.5,,766,6,2026-01-05,4.6,High
F0445,Wardha Road,Office Washroom,7.0,5.7,30.2,,699,4,2026-06-25,6.0,Medium
F0446,Civil Lines,Office Washroom,8.5,1.6,25.6,,129,4,2026-04-03,2.5,Low
F0447,Mihan,Public Washroom,9.3,1.4,27.1,,106,2,2026-03-18,6.1,Low
F0448,Manish Nagar,Hospital Washroom,5.4,6.3,68.2,,585,7,2026-09-07,9.6,High
F0449,Wardha Road,Hospital Washroom,4.1,6.3,47.9,,630,4,2026-08-19,12.6,High
F0450,Civil Lines,Transit Washroom,6.8,3.1,54.6,,427,7,2026-04-12,1.0,Medium
F0451,Hingna,Transit Washroom,5.0,4.7,68.4,,406,6,2026-02-10,5.4,Medium
F0452,Dharampeth,Public Washroom,4.4,6.2,81.7,,627,9,2026-07-27,3.1,High
F0453,Civil Lines,Transit Washroom,7.1,4.7,33.4,,596,4,2026-07-05,7.8,Medium
F0454,Sadar,Office Washroom,8.4,3.9,23.3,,781,3,2026-02-10,8.1,Low
F0455,Manish Nagar,Transit Washroom,5.7,5.7,65.3,,333,0,2026-02-23,11.1,Medium
F0456,Sitabuldi,Transit Washroom,5.5,6.6,69.4,,369,10,2026-03-06,2.5,High
F0457,Kamptee Road,School Washroom,6.6,4.1,28.2,,56,5,2026-05-20,4.8,Low
F0458,Kamptee Road,Mall Washroom,6.0,7.1,73.6,,225,4,2026-08-11,10.4,Medium
F0459,Nagpur Central,Public Washroom,5.4,4.7,43.4,,654,4,2026-06-05,4.4,Medium
F0460,Mihan,Hospital Washroom,7.5,1.3,31.1,,367,4,2026-09-09,8.7,Low
F0461,Sadar,Office Washroom,8.4,2.7,23.7,,583,1,2026-07-22,3.5,Low
F0462,Manish Nagar,Mall Washroom,7.7,2.9,13.0,,446,3,2026-05-20,7.4,Low
F0463,Civil Lines,School Washroom,6.2,2.4,22.8,,654,2,2026-05-20,2.6,Low
F0464,Sitabuldi,Mall Washroom,4.4,6.7,65.0,,292,6,2026-05-18,0.8,High
F0465,Mihan,Mall Washroom,6.2,4.9,48.2,,450,5,2026-07-10,4.1,Medium
F0466,Kamptee Road,School Washroom,4.2,7.1,52.1,,501,6,2026-02-06,11.2,High
F0467,Sadar,Mall Washroom,8.1,5.4,29.1,,645,3,2026-08-15,27.5,Medium
F0468,Manish Nagar,Hospital Washroom,4.6,7.3,60.3,,700,8,2026-07-19,1.8,High
F0469,Sadar,Public Washroom,8.1,4.7,28.5,,152,2,2026-01-27,4.9,Low
F0470,Nagpur Central,Public Washroom,8.1,3.0,44.0,,510,1,2026-05-05,3.8,Low
F0471,Nagpur Central,Public Washroom,3.9,6.1,63.8,,311,4,2026-06-23,2.1,Medium
F0472,Mihan,Mall Washroom,6.4,4.1,50.8,,628,6,2026-06-27,2.9,Medium
F0473,Sadar,Transit Washroom,7.4,5.5,30.7,,522,5,2026-09-08,5.0,Medium
F0474,Dharampeth,Transit Washroom,7.0,4.5,50.9,,364,7,2026-03-24,18.4,Medium
F0475,Civil Lines,Hospital Washroom,7.3,4.6,35.2,,639,3,2026-01-10,7.6,Medium
F0476,Kamptee Road,Office Washroom,7.2,4.0,27.0,,280,1,2026-09-12,3.7,Low
F0477,Sadar,Public Washroom,5.1,5.2,51.8,,347,5,2026-01-17,0.5,Medium
F0478,Nagpur Central,Hospital Washroom,5.5,4.9,53.1,,596,3,2026-05-12,5.6,Medium
F0479,Wardha Road,Transit Washroom,7.0,6.0,70.4,,470,6,2026-02-01,19.8,High
F0480,Dharampeth,Hospital Washroom,4.5,6.4,32.1,,450,5,2026-01-21,7.2,Medium
F0481,Kamptee Road,Mall Washroom,7.6,3.8,27.2,,417,4,2026-04-02,3.7,Low
F0482,Dharampeth,Office Washroom,9.0,1.0,12.7,,137,0,2026-08-07,9.1,Low
F0483,Wardha Road,School Washroom,7.0,2.4,18.5,,420,6,2026-06-16,6.9,Low
F0484,Wardha Road,School Washroom,4.7,6.4,44.9,,210,4,2026-05-11,1.8,Medium
F0485,Sadar,Office Washroom,4.6,6.8,54.7,,20,6,2026-06-03,5.5,Medium
F0486,Dharampeth,Public Washroom,6.3,4.9,43.0,,364,3,2026-03-21,6.1,Medium
F0487,Dharampeth,Mall Washroom,5.3,5.9,51.5,,889,5,2026-04-22,2.2,Medium
F0488,Civil Lines,Mall Washroom,8.7,1.6,38.0,,706,1,2026-02-18,12.8,Low
F0489,Dharampeth,Office Washroom,5.4,7.6,48.4,,388,4,2026-08-02,11.1,Medium
F0490,Wardha Road,Transit Washroom,9.3,1.7,0.0,,222,2,2026-01-22,0.5,Low
F0491,Dharampeth,Office Washroom,4.8,5.7,56.2,,309,8,2026-09-16,36.0,High
F0492,Manish Nagar,Public Washroom,5.8,3.1,60.0,,301,6,2026-07-24,10.3,Medium
F0493,Sadar,Public Washroom,4.8,7.0,51.2,,77,4,2026-05-07,1.7,Medium
F0494,Wardha Road,Office Washroom,7.9,3.0,45.7,,334,3,2026-07-07,4.0,Low
F0495,Mihan,Public Washroom,5.3,7.3,66.1,,458,10,2026-03-16,7.2,High
F0496,Sadar,Transit Washroom,6.3,5.5,40.6,,627,7,2026-01-28,0.7,Medium
F0497,Kamptee Road,Office Washroom,9.8,1.0,14.8,,396,0,2026-04-18,0.9,Low
F0498,Hingna,Transit Washroom,6.5,5.0,59.8,,76,4,2026-01-10,1.1,Medium
F0499,Dharampeth,School Washroom,8.3,1.8,27.1,,507,2,2026-01-05,8.9,Low
F0500,Sadar,School Washroom,8.5,1.5,8.0,,362,5,2026-07-17,2.6,Low
F0501,Nagpur Central,Office Washroom,3.4,7.5,84.7,,286,8,2026-01-12,0.7,High
F0502,Manish Nagar,Office Washroom,10.0,2.0,6.4,,428,0,2026-07-01,8.6,Low
F0503,Sadar,Office Washroom,10.0,1.0,11.2,,507,5,2026-05-24,3.7,Low
F0504,Hingna,Office Washroom,6.4,3.9,56.1,,396,2,2026-04-27,8.5,Medium
F0505,Sitabuldi,Hospital Washroom,4.6,5.8,53.3,,707,5,2026-04-14,1.1,Medium
F0506,Wardha Road,Public Washroom,4.3,5.7,35.6,,20,9,2026-03-22,11.0,High
F0507,Hingna,Hospital Washroom,2.1,7.8,92.1,,560,9,2026-07-31,9.7,High
F0508,Sitabuldi,Office Washroom,2.5,5.7,90.9,,590,10,2026-02-24,11.3,High
F0509,Mihan,Office Washroom,10.0,1.6,0.0,,228,0,2026-02-10,6.8,Low
F0510,Sitabuldi,Office Washroom,6.8,2.4,40.5,,127,5,2026-03-12,5.1,Low
F0511,Dharampeth,Office Washroom,6.7,5.6,73.0,,332,7,2026-04-15,1.9,High
F0512,Hingna,School Washroom,5.3,9.1,36.3,,235,5,2026-05-07,4.6,Medium
F0513,Kamptee Road,Public Washroom,6.8,2.4,50.9,,116,1,2026-01-20,21.0,Medium
F0514,Kamptee Road,School Washroom,5.4,3.3,61.3,,695,5,2026-01-21,3.8,Medium
F0515,Manish Nagar,Transit Washroom,3.7,7.1,79.8,,485,8,2026-08-05,2.7,High
F0516,Dharampeth,Office Washroom,4.5,8.2,51.1,,121,9,2026-09-14,0.7,High
F0517,Mihan,Public Washroom,7.2,1.0,34.7,,318,3,2026-04-14,4.5,Low
F0518,Mihan,Mall Washroom,8.7,2.3,45.2,,530,3,2026-02-28,1.0,Medium
F0519,Wardha Road,Transit Washroom,4.9,7.3,39.4,,689,5,2026-03-29,22.4,High
F0520,Manish Nagar,Mall Washroom,7.7,5.1,12.5,,661,5,2026-06-07,0.5,Low
F0521,Mihan,School Washroom,6.6,3.0,37.7,,351,3,2026-08-23,1.7,Low
F0522,Mihan,Public Washroom,5.4,5.5,53.0,,452,10,2026-07-29,4.8,High
F0523,Wardha Road,Public Washroom,6.2,4.7,54.5,,310,5,2026-01-29,12.9,Medium
F0524,Hingna,Office Washroom,7.6,3.6,36.4,,272,2,2026-02-25,0.7,Low
F0525,Nagpur Central,Public Washroom,7.2,4.7,25.7,,140,5,2026-07-04,6.2,Low
F0526,Manish Nagar,School Washroom,5.7,5.4,38.4,,588,6,2026-02-03,13.9,High
F0527,Mihan,Mall Washroom,8.3,4.2,24.7,,696,2,2026-02-14,8.9,Low
F0528,Sitabuldi,Transit Washroom,5.8,4.1,19.6,,360,9,2026-07-01,2.9,High
F0529,Dharampeth,Public Washroom,4.3,6.1,52.3,,241,4,2026-01-01,7.1,Medium
F0530,Wardha Road,Hospital Washroom,1.3,7.4,95.8,,510,11,2026-01-24,4.0,High
F0531,Nagpur Central,Public Washroom,3.9,6.4,76.3,,440,6,2026-06-15,11.7,High
F0532,Wardha Road,Mall Washroom,8.5,2.0,13.7,,390,1,2026-06-19,1.4,Low
F0533,Hingna,Mall Washroom,4.3,6.9,70.7,,456,9,2026-08-25,4.6,High
F0534,Wardha Road,Public Washroom,3.4,9.1,77.3,,307,6,2026-06-19,0.5,High
F0535,Manish Nagar,Mall Washroom,7.9,2.9,70.3,,552,2,2026-03-01,13.9,Medium
F0536,Sadar,Transit Washroom,5.6,6.7,34.4,,815,7,2026-06-04,3.5,Medium
F0537,Sitabuldi,Office Washroom,6.1,5.5,52.4,,57,9,2026-09-14,4.4,High
F0538,Kamptee Road,Mall Washroom,6.7,3.5,55.3,,357,5,2026-02-20,11.0,Medium
F0539,Wardha Road,School Washroom,7.7,3.3,46.2,,479,3,2026-02-14,0.9,Low
F0540,Wardha Road,Office Washroom,6.9,4.6,35.7,,428,3,2026-04-18,10.7,Medium
F0541,Sadar,Transit Washroom,6.9,5.1,33.5,,645,4,2026-02-22,1.2,Medium
F0542,Manish Nagar,Transit Washroom,6.7,3.6,51.6,,379,3,2026-02-06,2.1,Medium
F0543,Sitabuldi,Mall Washroom,8.2,1.8,31.4,,446,5,2026-07-20,0.5,Medium
F0544,Kamptee Road,Public Washroom,6.9,2.7,29.2,,334,1,2026-04-12,2.8,Low
F0545,Mihan,Office Washroom,9.5,1.1,9.2,,455,0,2026-08-27,18.9,Low
F0546,Wardha Road,School Washroom,6.8,4.9,38.3,,419,8,2026-06-19,1.5,High
F0547,Hingna,Mall Washroom,5.7,5.3,62.8,,593,4,2026-02-22,2.5,Medium
F0548,Sadar,Transit Washroom,8.4,2.9,14.5,,501,0,2026-07-31,3.8,Low
F0549,Kamptee Road,Mall Washroom,6.4,5.4,39.3,,438,0,2026-06-25,8.9,Medium
F0550,Wardha Road,Transit Washroom,8.6,2.6,45.2,,690,2,2026-08-26,5.0,Low
F0551,Mihan,Mall Washroom,8.1,3.7,24.0,,639,1,2026-06-17,8.7,Low
F0552,Sitabuldi,Mall Washroom,4.4,6.3,57.2,,791,4,2026-01-01,7.6,High
F0553,Hingna,Mall Washroom,7.8,4.5,17.6,,614,2,2026-06-05,8.6,Low
F0554,Manish Nagar,Public Washroom,8.7,3.5,22.3,,1074,3,2026-03-07,3.9,Low
F0555,Hingna,Mall Washroom,4.8,7.4,79.4,,542,9,2026-05-01,3.3,High
F0556,Mihan,Office Washroom,3.5,6.0,60.0,,234,7,2026-03-30,1.8,High
F0557,Nagpur Central,Office Washroom,7.1,5.1,61.9,,237,4,2026-02-06,36.0,High
F0558,Mihan,Mall Washroom,5.5,5.2,36.6,,522,5,2026-08-01,7.7,Medium
F0559,Civil Lines,School Washroom,4.8,5.4,65.9,,667,5,2026-01-04,4.5,High
F0560,Civil Lines,School Washroom,7.4,4.1,27.0,,195,4,2026-01-20,3.4,Low
F0561,Mihan,Transit Washroom,6.1,4.3,25.8,,469,8,2026-05-24,9.9,Medium
F0562,Kamptee Road,Transit Washroom,5.8,7.6,63.7,,73,5,2026-02-09,24.2,High
